Журнал информации по встрече морских и наземных млекопитающий при транспортировке грузов и СПГ;;;;;;;"Системы координат: См. лист ""Координаты""";;;;
;;;;;;;;;;;
№;Название судна;ФИО наблюдателя;ДД.ММ.ГГ;Время наблюдения;Координаты наблюдения;Вид млекопитающего;Кол-во;Расст-е;Среда (Вода, Берег, Лед);По какому борту;Меры по защите
136;АЛ ТАЙМЫР;ПУСТОВОЙ ЕВГЕНИЙ ВАЛЕНТИНОВИЧ;03.05.2015;11:32;7043,6 N/07331,0 E;НЕРПА;1;50м;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
137;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;04.05.2015;14:56;6843,5 N/07344,4 E;НЕРПА КОЛЬЧАТАЯ ;1;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
138;АЛ ТАЙМЫР;ПУСТОВОЙ ЕВГЕНИЙ ВАЛЕНТИНОВИЧ;25.04.2015;14:34;7258,3 N/07333,6 E;НЕРПА КОЛЬЧАТАЯ ;1;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
139;АЛ ТАЙМЫР;ПУСТОВОЙ ЕВГЕНИЙ ВАЛЕНТИНОВИЧ;25.04.2015;14:35;7318,3 N/07255,6 E;НЕРПА КОЛЬЧАТАЯ ;2;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
140;АЛ ТАЙМЫР;ЛИНОВИЦКИЙ АНДРЕЙ НИКОЛАЕВИЧ;25.04.2015;17:00;7257,7 N/07336,3 E;НЕРПА КОЛЬЧАТАЯ ;1;1 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
141;АЛ ТАЙМЫР;ПУСТОВОЙ ЕВГЕНИЙ ВАЛЕНТИНОВИЧ;25.04.2015;12:11;7150,5 N/07306,0 E;БЕЛЫЙ МЕДВЕДЬ ;3;50м;;;СНИЗИЛИ СКОРОСТЬ ДО МАЛОГО ХОДА ОЖИДАЛИ КОГДА МЕДВЕДИ ПОКИНУТ КАНАЛ
142;АЛ ТАЙМЫР;ПУСТОВОЙ ЕВГЕНИЙ ВАЛЕНТИНОВИЧ;29.04.2015;12:25;7227,6 N/07403,5 E;НЕРПА;1;5 КБТ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
143;АЛ ТАЙМЫР;ПУСТОВОЙ ЕВГЕНИЙ ВАЛЕНТИНОВИЧ;29.04.2015;12:26;7231,7 N/07412,2 E;НЕРПА;2;5 КБТ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
144;АЛ ТАЙМЫР;ПУСТОВОЙ ЕВГЕНИЙ ВАЛЕНТИНОВИЧ;29.04.2015;12:27;7236,3 N/07412,3 E;НЕРПА ;15;5 КБТ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
145;АЛ ТАЙМЫР;ПУСТОВОЙ ЕВГЕНИЙ ВАЛЕНТИНОВИЧ;29.04.2015;12:28;7237,4 N/07410,6  E;ЗАЯЦ;1;2 КБТ ;;; НЕ БЫЛО НЕОБХОДИМОСТИ ПРИНЯТИЯ МЕР ПО ЗАЩИТЕ
